#              x        Density              u              v              p           Mach
  -0.50000000E+00   0.10000000E+01   0.10000000E+01   0.00000000E+00   0.17857140E+00   0.20000002E+01
  -0.46153846E+00   0.10000323E+01   0.99999052E+00   0.00000000E+00   0.17857987E+00   0.19999660E+01
  -0.42307693E+00   0.10000758E+01   0.99998962E+00   0.00000000E+00   0.17858790E+00   0.19999628E+01
  -0.38461539E+00   0.10000882E+01   0.99997395E+00   0.00000000E+00   0.17859459E+00   0.19999064E+01
  -0.34615386E+00   0.10001123E+01   0.99997247E+00   0.00000000E+00   0.17859932E+00   0.19999011E+01
  -0.30769229E+00   0.10001299E+01   0.99997529E+00   0.00000000E+00   0.17860165E+00   0.19999112E+01
  -0.26923075E+00   0.10001222E+01   0.99997096E+00   0.00000000E+00   0.17860152E+00   0.19998956E+01
  -0.23076922E+00   0.10001140E+01   0.99997410E+00   0.00000000E+00   0.17859916E+00   0.19999069E+01
  -0.19230768E+00   0.10000865E+01   0.99997165E+00   0.00000000E+00   0.17859496E+00   0.19998981E+01
  -0.15384614E+00   0.10000760E+01   0.99998402E+00   0.00000000E+00   0.17858953E+00   0.19999426E+01
  -0.11538460E+00   0.10000903E+01   0.10000127E+01   0.00000000E+00   0.17858390E+00   0.20000459E+01
  -0.76923057E-01   0.10001402E+01   0.10000501E+01   0.00000000E+00   0.17858210E+00   0.20001807E+01
  -0.38461521E-01   0.99932796E+00   0.99982437E+00   0.00000000E+00   0.17850153E+00   0.19993680E+01
   0.18626451E-07   0.11654304E+01   0.95029900E+00   0.68100825E-01   0.22419813E+00   0.18358438E+01
   0.26315790E-01   0.14175887E+01   0.85834987E+00   0.15141298E+00   0.30574635E+00   0.15861665E+01
   0.52631579E-01   0.14206230E+01   0.85853229E+00   0.15144510E+00   0.30639869E+00   0.15865090E+01
   0.78947365E-01   0.14197870E+01   0.85866702E+00   0.15146887E+00   0.30621868E+00   0.15867572E+01
   0.10526316E+00   0.14192240E+01   0.85874398E+00   0.15148243E+00   0.30610879E+00   0.15868696E+01
   0.13157895E+00   0.14188380E+01   0.85879627E+00   0.15149167E+00   0.30604069E+00   0.15869269E+01
   0.15789473E+00   0.14185387E+01   0.85881831E+00   0.15149558E+00   0.30599888E+00   0.15869086E+01
   0.18421052E+00   0.14183305E+01   0.85884575E+00   0.15150041E+00   0.30597334E+00   0.15869091E+01
   0.21052632E+00   0.14181436E+01   0.85885242E+00   0.15150153E+00   0.30595896E+00   0.15868541E+01
   0.23684211E+00   0.14180015E+01   0.85886066E+00   0.15150298E+00   0.30595379E+00   0.15868032E+01
   0.26315790E+00   0.14179008E+01   0.85887213E+00   0.15150505E+00   0.30595727E+00   0.15867590E+01
   0.28947368E+00   0.14177910E+01   0.85885457E+00   0.15150199E+00   0.30597025E+00   0.15866315E+01
   0.31578946E+00   0.14177102E+01   0.85882783E+00   0.15149725E+00   0.30599521E+00   0.15864722E+01
   0.34210527E+00   0.14176825E+01   0.85880008E+00   0.15149236E+00   0.30603599E+00   0.15862998E+01
   0.36842105E+00   0.14176833E+01   0.85874668E+00   0.15148293E+00   0.30609728E+00   0.15860428E+01
   0.39473686E+00   0.14177695E+01   0.85869412E+00   0.15147366E+00   0.30618596E+00   0.15857642E+01
   0.42105263E+00   0.14180305E+01   0.85867668E+00   0.15147055E+00   0.30631648E+00   0.15855400E+01
   0.44736841E+00   0.14186015E+01   0.85865487E+00   0.15146662E+00   0.30655025E+00   0.15852142E+01
   0.47368422E+00   0.14246609E+01   0.86035017E+00   0.15176579E+00   0.30753293E+00   0.15891875E+01
   0.50000000E+00   0.95953040E+00   0.96163062E+00   0.00000000E+00   0.18223191E+00   0.18649252E+01
   0.52631581E+00   0.57703780E+00   0.10162611E+01  -0.17926845E+00   0.10175296E+00   0.20769396E+01
   0.55263156E+00   0.56957544E+00   0.10172607E+01  -0.17944478E+00   0.10023958E+00   0.20810295E+01
   0.57894737E+00   0.56865979E+00   0.10174160E+01  -0.17947226E+00   0.10003132E+00   0.20818373E+01
   0.60526317E+00   0.56808139E+00   0.10175158E+01  -0.17948992E+00   0.99896943E-01   0.20823816E+01
   0.63157892E+00   0.56791285E+00   0.10178314E+01  -0.17954544E+00   0.99802312E-01   0.20837055E+01
   0.65789473E+00   0.56773252E+00   0.10179391E+01  -0.17956438E+00   0.99741325E-01   0.20842320E+01
   0.68421054E+00   0.56768348E+00   0.10180208E+01  -0.17957885E+00   0.99708928E-01   0.20846478E+01
   0.71052629E+00   0.56758398E+00   0.10179044E+01  -0.17955839E+00   0.99701160E-01   0.20843080E+01
   0.73684210E+00   0.56772372E+00   0.10179184E+01  -0.17956080E+00   0.99714511E-01   0.20844536E+01
   0.76315790E+00   0.56798626E+00   0.10179608E+01  -0.17956828E+00   0.99744851E-01   0.20847053E+01
   0.78947371E+00   0.56822665E+00   0.10178946E+01  -0.17955667E+00   0.99789263E-01   0.20845469E+01
   0.81578946E+00   0.56857790E+00   0.10178747E+01  -0.17955309E+00   0.99845573E-01   0.20845622E+01
   0.84210527E+00   0.56882929E+00   0.10176885E+01  -0.17952024E+00   0.99911178E-01   0.20839569E+01
   0.86842108E+00   0.56923954E+00   0.10176221E+01  -0.17950855E+00   0.99984219E-01   0.20838107E+01
   0.89473683E+00   0.56963561E+00   0.10175004E+01  -0.17948705E+00   0.10006251E+00   0.20834706E+01
   0.92105263E+00   0.57009733E+00   0.10174014E+01  -0.17946962E+00   0.10014607E+00   0.20832424E+01
   0.94736844E+00   0.57067586E+00   0.10172987E+01  -0.17945150E+00   0.10024507E+00   0.20830595E+01
   0.97368419E+00   0.57485146E+00   0.10178744E+01  -0.17955304E+00   0.10083856E+00   0.20856846E+01
   0.10000000E+01   0.73746602E+00   0.95868854E+00  -0.68702023E-01   0.14094643E+00   0.18581031E+01
   0.10384616E+01   0.87301598E+00   0.90739129E+00   0.00000000E+00   0.17869606E+00   0.16950566E+01
   0.10769231E+01   0.87654338E+00   0.90645880E+00   0.00000000E+00   0.17964126E+00   0.16922624E+01
   0.11153846E+01   0.87749966E+00   0.90606636E+00   0.00000000E+00   0.17994391E+00   0.16910283E+01
   0.11538461E+01   0.87810158E+00   0.90621861E+00   0.00000000E+00   0.18005772E+00   0.16913577E+01
   0.11923077E+01   0.87798034E+00   0.90634188E+00   0.00000000E+00   0.18003917E+00   0.16915581E+01
   0.12307693E+01   0.87746995E+00   0.90660852E+00   0.00000000E+00   0.17991952E+00   0.16921263E+01
   0.12692307E+01   0.87676643E+00   0.90712683E+00   0.00000000E+00   0.17971629E+00   0.16933714E+01
   0.13076923E+01   0.87576756E+00   0.90776365E+00   0.00000000E+00   0.17944061E+00   0.16948951E+01
   0.13461539E+01   0.87464573E+00   0.90864115E+00   0.00000000E+00   0.17910162E+00   0.16970503E+01
   0.13846154E+01   0.87327852E+00   0.90963107E+00   0.00000000E+00   0.17870453E+00   0.16994558E+01
   0.14230770E+01   0.87167075E+00   0.91072621E+00   0.00000000E+00   0.17825275E+00   0.17020877E+01
   0.14615384E+01   0.86991115E+00   0.91199530E+00   0.00000000E+00   0.17774909E+00   0.17051490E+01
   0.15000000E+01   0.86991491E+00   0.91199940E+00   0.00000000E+00   0.17774909E+00   0.17051604E+01
