# xLoc=    0.00000    
#              y    NonDim_Uvel       Dim_Temp
   0.00000000E+00   0.94969162E+00   0.32375574E+03
   0.19818214E-03   0.95049547E+00   0.32238727E+03
   0.39615427E-03   0.95114360E+00   0.32210975E+03
   0.59392105E-03   0.95167360E+00   0.32184127E+03
   0.79148676E-03   0.95224928E+00   0.32157516E+03
   0.98885514E-03   0.95271552E+00   0.32139759E+03
   0.11860309E-02   0.95301728E+00   0.32125652E+03
   0.13830169E-02   0.95326877E+00   0.32113445E+03
   0.15798169E-02   0.95374422E+00   0.32092489E+03
   0.17764338E-02   0.95453599E+00   0.32057778E+03
   0.20317547E-02   0.95554645E+00   0.32011580E+03
   0.23631947E-02   0.95636970E+00   0.31974870E+03
   0.27932650E-02   0.95760257E+00   0.31919204E+03
   0.33510232E-02   0.95894974E+00   0.31858924E+03
   0.40739100E-02   0.96087401E+00   0.31770741E+03
   0.50100703E-02   0.96281256E+00   0.31683341E+03
   0.62212744E-02   0.96554913E+00   0.31558592E+03
   0.77865794E-02   0.96832316E+00   0.31433485E+03
   0.98069226E-02   0.97187061E+00   0.31273059E+03
   0.12410923E-01   0.97582116E+00   0.31092518E+03
   0.15762264E-01   0.98026149E+00   0.30892831E+03
   0.20069243E-01   0.98458261E+00   0.30708255E+03
   0.25597313E-01   0.98947992E+00   0.30488853E+03
   0.32685708E-01   0.99386071E+00   0.30289170E+03
   0.41769553E-01   0.99701370E+00   0.30142085E+03
   0.53408779E-01   0.99882399E+00   0.30056263E+03
   0.68325408E-01   0.99965679E+00   0.30016470E+03
   0.87450862E-01   0.99997074E+00   0.30001405E+03
   0.11198619E+00   0.10000842E+01   0.29995973E+03
   0.14348057E+00   0.10001550E+01   0.29992561E+03
   0.18577608E+00   0.10001672E+01   0.29992043E+03
   0.23620565E+00   0.10000507E+01   0.29997554E+03
   0.28623700E+00   0.99997141E+00   0.30001318E+03
   0.33599281E+00   0.99995539E+00   0.30002140E+03
   0.38555837E+00   0.99995280E+00   0.30002264E+03
   0.43499455E+00   0.99995975E+00   0.30001931E+03
   0.48434579E+00   0.99997115E+00   0.30001385E+03
   0.53364450E+00   0.99998680E+00   0.30000634E+03
   0.58291441E+00   0.99999527E+00   0.30000227E+03
   0.63288742E+00   0.99999851E+00   0.30000072E+03
   0.68207347E+00   0.99999993E+00   0.30000003E+03
   0.73127693E+00   0.10000003E+01   0.29999987E+03
   0.78050280E+00   0.10000005E+01   0.29999977E+03
   0.82975376E+00   0.10000005E+01   0.29999976E+03
   0.87903148E+00   0.10000004E+01   0.29999980E+03
   0.92833602E+00   0.10000003E+01   0.29999986E+03
   0.97766709E+00   0.10000002E+01   0.29999990E+03
   0.10270232E+01   0.10000002E+01   0.29999993E+03
   0.10764034E+01   0.10000001E+01   0.29999994E+03
   0.11258055E+01   0.10000001E+01   0.29999995E+03
   0.11752275E+01   0.10000001E+01   0.29999995E+03
   0.12246670E+01   0.10000001E+01   0.29999995E+03
   0.12741219E+01   0.10000001E+01   0.29999996E+03
   0.13235893E+01   0.10000001E+01   0.29999997E+03
   0.13730671E+01   0.99999998E+00   0.30000001E+03
   0.14225531E+01   0.99999971E+00   0.30000014E+03
   0.14720441E+01   0.10000010E+01   0.29999954E+03
