#              x        Density              u              v              p           Mach
  -0.50000000E+00   0.10000000E+01   0.10000000E+01   0.00000000E+00   0.17857140E+00   0.20000002E+01
  -0.46153846E+00   0.10000238E+01   0.99999263E+00   0.00000000E+00   0.17857774E+00   0.19999737E+01
  -0.42307693E+00   0.10000663E+01   0.99999239E+00   0.00000000E+00   0.17858553E+00   0.19999721E+01
  -0.38461539E+00   0.10000831E+01   0.99997549E+00   0.00000000E+00   0.17859333E+00   0.19999114E+01
  -0.34615386E+00   0.10001249E+01   0.99996906E+00   0.00000000E+00   0.17860263E+00   0.19998883E+01
  -0.30769229E+00   0.10001523E+01   0.99996981E+00   0.00000000E+00   0.17860720E+00   0.19998916E+01
  -0.26923075E+00   0.10001557E+01   0.99996151E+00   0.00000000E+00   0.17861018E+00   0.19998617E+01
  -0.23076922E+00   0.10001559E+01   0.99996350E+00   0.00000000E+00   0.17860964E+00   0.19998689E+01
  -0.19230768E+00   0.10001258E+01   0.99996098E+00   0.00000000E+00   0.17860499E+00   0.19998598E+01
  -0.15384614E+00   0.10000936E+01   0.99996874E+00   0.00000000E+00   0.17859658E+00   0.19998902E+01
  -0.11538460E+00   0.10000844E+01   0.10000127E+01   0.00000000E+00   0.17858289E+00   0.20000455E+01
  -0.76923057E-01   0.10001151E+01   0.10000565E+01   0.00000000E+00   0.17857589E+00   0.20002031E+01
  -0.38461521E-01   0.99929459E+00   0.99983143E+00   0.00000000E+00   0.17849321E+00   0.19993954E+01
   0.18626451E-07   0.11603427E+01   0.94967042E+00   0.68055780E-01   0.22360837E+00   0.18330331E+01
   0.26315790E-01   0.14269356E+01   0.86540198E+00   0.15265697E+00   0.30522513E+00   0.16058312E+01
   0.52631579E-01   0.14143973E+01   0.86887602E+00   0.15326974E+00   0.30147062E+00   0.16151430E+01
   0.78947365E-01   0.14375994E+01   0.86348069E+00   0.15231801E+00   0.30839940E+00   0.15999439E+01
   0.10526316E+00   0.14290936E+01   0.86539715E+00   0.15265605E+00   0.30589951E+00   0.16052636E+01
   0.13157895E+00   0.14227794E+01   0.86680022E+00   0.15290356E+00   0.30411521E+00   0.16090098E+01
