#              x        Density              u              v              p           Mach
  -0.50000000E+00   0.10000000E+01   0.00000000E+00   0.00000000E+00   0.17857140E+00   0.00000000E+00
  -0.46153846E+00   0.10685215E+01   0.00000000E+00   0.00000000E+00   0.19080739E+00   0.00000000E+00
  -0.42307693E+00   0.10330178E+01   0.00000000E+00   0.00000000E+00   0.18446744E+00   0.00000000E+00
  -0.38461539E+00   0.10220573E+01   0.00000000E+00   0.00000000E+00   0.18251021E+00   0.00000000E+00
  -0.34615386E+00   0.10174507E+01   0.00000000E+00   0.00000000E+00   0.18168760E+00   0.00000000E+00
  -0.30769229E+00   0.10149007E+01   0.00000000E+00   0.00000000E+00   0.18123224E+00   0.00000000E+00
  -0.26923075E+00   0.10134321E+01   0.00000000E+00   0.00000000E+00   0.18096998E+00   0.00000000E+00
  -0.23076922E+00   0.10128771E+01   0.00000000E+00   0.00000000E+00   0.18087088E+00   0.00000000E+00
  -0.19230768E+00   0.10137143E+01   0.00000000E+00   0.00000000E+00   0.18102038E+00   0.00000000E+00
  -0.15384614E+00   0.10178027E+01   0.00000000E+00   0.00000000E+00   0.18175045E+00   0.00000000E+00
  -0.11538460E+00   0.10293711E+01   0.00000000E+00   0.00000000E+00   0.18381624E+00   0.00000000E+00
  -0.76923057E-01   0.10545467E+01   0.00000000E+00   0.00000000E+00   0.18831189E+00   0.00000000E+00
  -0.38461521E-01   0.10912205E+01   0.00000000E+00   0.00000000E+00   0.19486078E+00   0.00000000E+00
   0.18626451E-07   0.12903905E+01   0.00000000E+00   0.00000000E+00   0.23042683E+00   0.00000000E+00
   0.26315790E-01   0.16009076E+01   0.00000000E+00   0.00000000E+00   0.28587630E+00   0.00000000E+00
   0.52631579E-01   0.16526900E+01   0.00000000E+00   0.00000000E+00   0.29512317E+00   0.00000000E+00
   0.78947365E-01   0.16764797E+01   0.00000000E+00   0.00000000E+00   0.29937132E+00   0.00000000E+00
   0.10526316E+00   0.16894779E+01   0.00000000E+00   0.00000000E+00   0.30169244E+00   0.00000000E+00
   0.13157895E+00   0.16972293E+01   0.00000000E+00   0.00000000E+00   0.30307662E+00   0.00000000E+00
   0.15789473E+00   0.17020793E+01   0.00000000E+00   0.00000000E+00   0.30394268E+00   0.00000000E+00
   0.18421052E+00   0.17051098E+01   0.00000000E+00   0.00000000E+00   0.30448385E+00   0.00000000E+00
   0.21052632E+00   0.17070286E+01   0.00000000E+00   0.00000000E+00   0.30482649E+00   0.00000000E+00
   0.23684211E+00   0.17082443E+01   0.00000000E+00   0.00000000E+00   0.30504357E+00   0.00000000E+00
   0.26315790E+00   0.17089809E+01   0.00000000E+00   0.00000000E+00   0.30517511E+00   0.00000000E+00
   0.28947368E+00   0.17093231E+01   0.00000000E+00   0.00000000E+00   0.30523622E+00   0.00000000E+00
   0.31578946E+00   0.17092081E+01   0.00000000E+00   0.00000000E+00   0.30521569E+00   0.00000000E+00
   0.34210527E+00   0.17084950E+01   0.00000000E+00   0.00000000E+00   0.30508834E+00   0.00000000E+00
   0.36842105E+00   0.17069081E+01   0.00000000E+00   0.00000000E+00   0.30480497E+00   0.00000000E+00
   0.39473686E+00   0.17038945E+01   0.00000000E+00   0.00000000E+00   0.30426682E+00   0.00000000E+00
   0.42105263E+00   0.16984509E+01   0.00000000E+00   0.00000000E+00   0.30329475E+00   0.00000000E+00
   0.44736841E+00   0.16881706E+01   0.00000000E+00   0.00000000E+00   0.30145900E+00   0.00000000E+00
   0.47368422E+00   0.16614699E+01   0.00000000E+00   0.00000000E+00   0.29669101E+00   0.00000000E+00
   0.50000000E+00   0.10271139E+01   0.00000000E+00   0.00000000E+00   0.18341317E+00   0.00000000E+00
   0.52631581E+00   0.61248562E+00   0.00000000E+00   0.00000000E+00   0.10937242E+00   0.00000000E+00
   0.55263156E+00   0.58930346E+00   0.00000000E+00   0.00000000E+00   0.10523274E+00   0.00000000E+00
   0.57894737E+00   0.57906399E+00   0.00000000E+00   0.00000000E+00   0.10340427E+00   0.00000000E+00
   0.60526317E+00   0.57359246E+00   0.00000000E+00   0.00000000E+00   0.10242721E+00   0.00000000E+00
   0.63157892E+00   0.57031458E+00   0.00000000E+00   0.00000000E+00   0.10184187E+00   0.00000000E+00
   0.65789473E+00   0.56822735E+00   0.00000000E+00   0.00000000E+00   0.10146915E+00   0.00000000E+00
   0.68421054E+00   0.56681030E+00   0.00000000E+00   0.00000000E+00   0.10121611E+00   0.00000000E+00
   0.71052629E+00   0.56589494E+00   0.00000000E+00   0.00000000E+00   0.10105265E+00   0.00000000E+00
   0.73684210E+00   0.56540193E+00   0.00000000E+00   0.00000000E+00   0.10096461E+00   0.00000000E+00
   0.76315790E+00   0.56534835E+00   0.00000000E+00   0.00000000E+00   0.10095505E+00   0.00000000E+00
   0.78947371E+00   0.56582871E+00   0.00000000E+00   0.00000000E+00   0.10104083E+00   0.00000000E+00
   0.81578946E+00   0.56722761E+00   0.00000000E+00   0.00000000E+00   0.10129063E+00   0.00000000E+00
   0.84210527E+00   0.57021012E+00   0.00000000E+00   0.00000000E+00   0.10182322E+00   0.00000000E+00
   0.86842108E+00   0.57591446E+00   0.00000000E+00   0.00000000E+00   0.10284185E+00   0.00000000E+00
   0.89473683E+00   0.58625038E+00   0.00000000E+00   0.00000000E+00   0.10468755E+00   0.00000000E+00
   0.92105263E+00   0.60114799E+00   0.00000000E+00   0.00000000E+00   0.10734784E+00   0.00000000E+00
   0.94736844E+00   0.61976996E+00   0.00000000E+00   0.00000000E+00   0.11067319E+00   0.00000000E+00
   0.97368419E+00   0.64054496E+00   0.00000000E+00   0.00000000E+00   0.11438301E+00   0.00000000E+00
   0.10000000E+01   0.76414342E+00   0.00000000E+00   0.00000000E+00   0.13645416E+00   0.00000000E+00
   0.10384616E+01   0.91571268E+00   0.00000000E+00   0.00000000E+00   0.16352009E+00   0.00000000E+00
   0.10769231E+01   0.95775039E+00   0.00000000E+00   0.00000000E+00   0.17102683E+00   0.00000000E+00
   0.11153846E+01   0.97722553E+00   0.00000000E+00   0.00000000E+00   0.17450453E+00   0.00000000E+00
   0.11538461E+01   0.98754653E+00   0.00000000E+00   0.00000000E+00   0.17634757E+00   0.00000000E+00
   0.11923077E+01   0.99330100E+00   0.00000000E+00   0.00000000E+00   0.17737515E+00   0.00000000E+00
   0.12307693E+01   0.99649688E+00   0.00000000E+00   0.00000000E+00   0.17794584E+00   0.00000000E+00
   0.12692307E+01   0.99811989E+00   0.00000000E+00   0.00000000E+00   0.17823567E+00   0.00000000E+00
   0.13076923E+01   0.99870531E+00   0.00000000E+00   0.00000000E+00   0.17834020E+00   0.00000000E+00
   0.13461539E+01   0.99855897E+00   0.00000000E+00   0.00000000E+00   0.17831407E+00   0.00000000E+00
   0.13846154E+01   0.99786031E+00   0.00000000E+00   0.00000000E+00   0.17818931E+00   0.00000000E+00
   0.14230770E+01   0.99672481E+00   0.00000000E+00   0.00000000E+00   0.17798654E+00   0.00000000E+00
   0.14615384E+01   0.99524592E+00   0.00000000E+00   0.00000000E+00   0.17772246E+00   0.00000000E+00
   0.15000000E+01   0.99524587E+00   0.00000000E+00   0.00000000E+00   0.17772245E+00   0.00000000E+00
